name,acronym,codesystem,code,ontologyTermURI,definition,aliases,country,city,latitude,longitude
Istituto Giannina Gaslini,,ROR,ROR:0424g0k78,https://ror.org/0424g0k78,,,Italy,Genoa,44.40478,8.94439
Ghent University,,ROR,ROR:00cv9y106,https://ror.org/00cv9y106,,UGent,Belgium,Ghent,51.05,3.71667
Universitätsmedizin Göttingen,UMG,ROR,ROR:021ft0n22,https://ror.org/021ft0n22,,,Germany,Göttingen,51.53443,9.93228
University of Groningen,,ROR,ROR:012p63287,https://ror.org/012p63287,,Academia Groningana,Netherlands (the),Groningen,53.21917,6.56667
Cliniques Universitaires Saint-Luc,,ROR,ROR:03s4khd80,https://ror.org/03s4khd80,,,Belgium,Brussels,50.85045,4.34878
Hôpital Jeanne de Flandre,,ROR,ROR:01e8kn913,https://ror.org/01e8kn913,,,France,Lille,50.63297,3.05858
University Hospital Schleswig-Holstein,UKSH,ROR,ROR:01tvm6f46,https://ror.org/01tvm6f46,,,Germany,Kiel,54.32133,10.13489
Hôpital Femme Mère Enfant,HFME,ROR,ROR:006yspz11,https://ror.org/006yspz11,,,France,Bron,45.73865,4.91303
Hospital La Paz Institute for Health Research,IDIPAZ,ROR,ROR:017bynh47,https://ror.org/017bynh47,,,Spain,Madrid,40.4165,-3.70256
University Hospital Magdeburg,,ROR,ROR:03m04df46,https://ror.org/03m04df46,,,Germany,Magdeburg,52.12773,11.62916
Hôpital de la Timone,,ROR,ROR:05jrr4320,https://ror.org/05jrr4320,,,France,Marseille,43.29695,5.38107
Centre Hospitalier Universitaire de Montpellier,CHRU MTP,ROR,ROR:00mthsf17,https://ror.org/00mthsf17,,,France,Montpellier,43.61093,3.87635
University Hospital Münster,UKM,ROR,ROR:01856cw59,https://ror.org/01856cw59,,University Hospital Muenster; University Hospital of Muenster; University Hospital of Münster,Germany,Münster,51.96236,7.62571
Federico II University Hospital,,ROR,ROR:02jr6tp70,https://ror.org/02jr6tp70,,Policlinico di Napoli,Italy,Naples,40.85216,14.26811
University of Southern Denmark,SDU,ROR,ROR:03yrrjy16,https://ror.org/03yrrjy16,,South Danish University,Denmark,Odense,55.39594,10.38831
Uniwersytecki Szpital Kliniczny w Olsztynie,USK,ROR,ROR:03a07kg34,https://ror.org/03a07kg34,,,Poland,Olsztyn,53.77995,20.49416
Hôpital Robert-Debré,,ROR,ROR:02dcqy320,https://ror.org/02dcqy320,,,France,Paris,48.85341,2.3488
Azienda Sanitaria Unità Locale di Reggio Emilia,,ROR,ROR:001bbwj30,https://ror.org/001bbwj30,,AUSL Reggio Emilia,Italy,Reggio Emilia,44.69825,10.63125
Centre Hospitalier Universitaire de Rennes,,ROR,ROR:05qec5a53,https://ror.org/05qec5a53,,CHU Rennes; CHU de Rennes,France,Rennes,48.11198,-1.67429
Children's Clinical University Hospital,,ROR,ROR:01js8h045,https://ror.org/01js8h045,,University Children’s Hospital,Latvia,Riga,56.946,24.10589
Victor Babeș University of Medicine and Pharmacy Timișoara,UMFT,ROR,ROR:00afdp487,https://ror.org/00afdp487,,"Universitatea de Medicină și Farmacie ""Victor Babeş"", Timișoara",Romania,Timișoara,45.75372,21.22571
University of Turin,UNITO,ROR,ROR:048tbm396,https://ror.org/048tbm396,,,Italy,Turin,45.07049,7.68682
Children's Memorial Health Institute,CMHI; CZD,ROR,ROR:020atbp69,https://ror.org/020atbp69,,"Instytut ""Pomnik - Centrum Zdrowia Dziecka",Poland,Warsaw,52.22977,21.01178
